level,start,end,name,link,prize
premier,20200224,20200301,IEM Katowice 2020,https://liquipedia.net/starcraft2/IEM_Katowice/2020,400000
premier,20200318,20200328,2020 AfreecaTV GSL Super Tournament 1,https://liquipedia.net/starcraft2/AfreecaTV_GSL_Super_Tournament/2020/1,30000
major,20200410,20200411,StayAtHome Story Cup #1,https://liquipedia.net/starcraft2/StayAtHome_Story_Cup/1,5000
major,20200418,20200524,Championship of Russia 2020,https://liquipedia.net/starcraft2/Championship_of_Russia/2020,6980
premier,20200411,20200606,2020 Global StarCraft II League Season 1,https://liquipedia.net/starcraft2/Global_StarCraft_II_League/2020/Season_1,140000
premier,20200516,20200607,TeamLiquid StarLeague 5,https://liquipedia.net/starcraft2/TeamLiquid_StarLeague/5,30000
major,20200611,20200613,StayAtHome Story Cup #2,https://liquipedia.net/starcraft2/StayAtHome_Story_Cup/2,5000
major,20200407,20200614,WardiTV Spring Championship,https://liquipedia.net/starcraft2/WardiTV_Spring_Championship,5000
major,20200625,20200626,Gold Series Team Championship 2020 Spring Allstars,https://liquipedia.net/starcraft2/Gold_Series_Team_Championship/2020/Spring/Allstars,7346
major,20200624,20200628,DH SC2 Masters 2020 Summer: TW / HK / MO / JP,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Summer/TW,14100
major,20200624,20200628,DH SC2 Masters 2020 Summer: Oceania / Rest of Asia,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Summer/OC,12000
major,20200701,20200705,DH SC2 Masters 2020 Summer: China,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Summer/CN,13800
premier,20200624,20200712,DH SC2 Masters 2020 Summer: Europe,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Summer/EU,84000
premier,20200630,20200712,DH SC2 Masters 2020 Summer: North America,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Summer/NA,38000
premier,20200716,20200719,DH SC2 Masters 2020 Summer: Season Finals,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Summer,57000
premier,20200709,20200813,Douyu Cup 2020,https://liquipedia.net/starcraft2/Douyu_Cup/2020,21166
premier,20200620,20200815,2020 Global StarCraft II League Season 2,https://liquipedia.net/starcraft2/Global_StarCraft_II_League/2020/Season_2,140000
major,20200826,20200830,DH SC2 Masters 2020 Fall: Latin America,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Fall/LA,17200
major,20200826,20200830,DH SC2 Masters 2020 Fall: TW / HK / MO / JP,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Fall/TW,14100
major,20200826,20200830,DH SC2 Masters 2020 Fall: Oceania / Rest of Asia,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Fall/OC,12000
major,20200725,20200904,NeXT 2020 Summer,https://liquipedia.net/starcraft2/Netease_Esports_X_Tournaments/2020/Summer,14615
major,20200902,20200906,DH SC2 Masters 2020 Fall: China,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Fall/CN,14100
premier,20200826,20200913,DH SC2 Masters 2020 Fall: Europe,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Fall/EU,84000
premier,20200901,20200913,DH SC2 Masters 2020 Fall: North America,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Fall/NA,38000
premier,20200915,20200920,DH SC2 Masters 2020 Fall: Season Finals,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Fall,57000
major,20201008,20201009,Gold Series Team Championship 2020 Fall Allstars,https://liquipedia.net/starcraft2/Gold_Series_Team_Championship/2020/Fall/Allstars,7767
premier,20201003,20201011,King of Battles: KB International Championship,https://liquipedia.net/starcraft2/King_of_Battles,30000
major,20201021,20201025,DH SC2 Masters 2020 Winter: Latin America,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Winter/LA,17200
major,20201021,20201025,DH SC2 Masters 2020 Winter: TW / HK / MO / JP,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Winter/TW,14100
major,20201021,20201025,DH SC2 Masters 2020 Winter: Oceania / Rest of Asia,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Winter/OC,12000
premier,20200829,20201101,2020 Global StarCraft II League Season 3,https://liquipedia.net/starcraft2/Global_StarCraft_II_League/2020/Season_3,140000
major,20201028,20201101,DH SC2 Masters 2020 Winter: China,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Winter/CN,14100
premier,20201021,20201108,DH SC2 Masters 2020 Winter: Europe,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Winter/EU,84000
premier,20201027,20201108,DH SC2 Masters 2020 Winter: North America,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Winter/NA,38000
premier,20201110,20201115,DH SC2 Masters 2020 Winter: Season Finals,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Winter,57000
major,20201127,20201129,ASUS ROG Online 2020,https://liquipedia.net/starcraft2/Assembly_Online/2020,15000
major,20201130,20201206,NeXT 2020 Winter,https://liquipedia.net/starcraft2/Netease_Esports_X_Tournaments/2020/Winter,15310
premier,20201202,20201212,2020 AfreecaTV GSL Super Tournament 2,https://liquipedia.net/starcraft2/AfreecaTV_GSL_Super_Tournament/2020/2,30000
premier,20201205,20201220,TeamLiquid StarLeague 6,https://liquipedia.net/starcraft2/TeamLiquid_StarLeague/6,30000
major,20210102,20210111,OSC Championship Season 8,https://liquipedia.net/starcraft2/OSC_Championship_8,5735
premier,20210112,20210117,DH SC2 Masters 2020: Last Chance 2021,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2020/21/Masters/Last_Chance,57000
major,20210123,20210124,Cheeseadelphia Winter Championship 2021,https://liquipedia.net/starcraft2/Cheeseadelphia/2021/Winter_Championship,10000
premier,20210127,20210130,2021 AfreecaTV GSL Super Tournament 1,https://liquipedia.net/starcraft2/AfreecaTV_GSL_Super_Tournament/2021/1,25600
major,20210123,20210207,WardiTV 2021,https://liquipedia.net/starcraft2/WardiTV_2021,8300
premier,20210220,20210228,IEM Katowice 2021,https://liquipedia.net/starcraft2/IEM_Katowice/2021,250000
major,20210311,20210314,StayAtHome Story Cup #3,https://liquipedia.net/starcraft2/StayAtHome_Story_Cup/3,5000
premier,20210405,20210506,2021 Global StarCraft II League Season 1: Code S,https://liquipedia.net/starcraft2/Global_StarCraft_II_League/2021/Season_1,118000
major,20210411,20210511,WardiTV Spring Championship 2021,https://liquipedia.net/starcraft2/WardiTV_Spring_Championship_2021,5420
major,20210501,20210523,Championship of Russia 2021,https://liquipedia.net/starcraft2/Championship_of_Russia/2021,6791
major,20210519,20210523,DH SC2 Masters 2021 Summer: TW/HK,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Summer/TW,12200
major,20210519,20210523,DH SC2 Masters 2021 Summer: Oceania,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Summer/OC,12200
